,District_Name,Type,latitude,longitude
1691,praha 10,school,50.08226838776021,14.498734318599052
1693,praha 10,school,50.054877032460126,14.497122119453156
1696,praha 10,school,50.07045848211084,14.492560499999996
1699,praha 10,school,50.03446797639802,14.559640595765188
1702,praha 10,school,50.046483013099056,14.56198357989525
1705,praha 10,school,50.0400793960701,14.561582700097267
1708,praha 10,school,50.041015638351936,14.55064500481877
1711,praha 10,school,50.04902454760799,14.521479090715266
1714,praha 10,school,50.04995026389325,14.53831803880812
1717,praha 10,school,50.03611322427708,14.596298689105273
1719,praha 10,school,50.02966491759462,14.604051709677485
1722,praha 10,school,50.05742364472857,14.561218123204052
1725,praha 10,school,50.011642895377605,14.625810465318182
1729,praha 10,school,50.0707811740147,14.551588508194312
1733,praha 10,school,50.06308804830048,14.591126306942302
1738,praha 7,school,50.1076392850424,14.440906647210069
1739,praha 8,school,50.12463957285476,14.459677869265473
1740,praha 9,school,50.124638932021334,14.502009031796305
1741,praha 9,school,50.113167841797015,14.611925253938592
1742,praha 9,educatioanal center,50.113167841797015,14.611925253938592
1744,praha 9,school,50.10206544546709,14.50396629225577
1746,praha 9,school,50.09177108021237,14.50062306719926
1747,praha 10,school,50.05271080875997,14.540710171706088
1748,praha 4,educatioanal center,50.009725655288825,14.469364682959766
1751,praha 5,school,50.04713444324542,14.356449940359886
1754,praha 5,school,50.07620456869982,14.397598604478178
1755,praha 5,school,50.07620456869982,14.397598604478178
1760,praha 9,school,50.10734939020689,14.539162552528106
1764,praha 10,school,50.06914943825374,14.45454048182236
1767,praha 7,school,50.097536874545575,14.422205191759648
1769,praha 10,school,50.065021486005975,14.454778887731552
1771,praha 4,school,50.0638354782157,14.433948167638079
1773,praha 4,school,50.047803010820054,14.487426128195711
1782,praha 8,school,50.09369411573091,14.463797230884891
1789,praha 4,school,50.02724354342439,14.459400000000016
1792,praha 2,school,50.07325462308848,14.435912505395704
1793,praha 2,school,50.07325462308848,14.435912505395704
